label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104
G,-220.68288757898173,-6.0920131718136625,-28.024286197873135,-4.618944597953853,-4.106763067046511,0.8427626463762272,0.5647191996722211,-0.17553604155255004,2.5832274589662636,4.197307499302597,2.112178562297491,0.8505206759255789,-1.2107858800478357,53.09323485350231,6.277915303745521,5.66204719456377,3.5136743325729136,6.508862214396548,4.776191465445355,1.2793843273587624,3.6106942567524136,2.5165050577648844,1.8581368370122036,2.0232743125345056,1.0649949317132783,1.2688847534082097,-305.6437834555567,-18.119839072262735,-36.363445647218825,-9.190626488278266,-18.590330322984173,-6.978978065640829,-2.7231428239441593,-5.9014879043420905,-0.8722245588910469,-0.7350307690792255,-1.612415188696807,-1.2590786077440277,-3.466788692011129,-138.61788783869468,3.1237158191324976,-12.20280670061116,4.296500661197503,5.244491675828309,9.15901328445754,3.3089639931755643,5.973139724762461,7.423112176239953,6.571998006114638,6.7071936279263,2.331356018708315,1.0814746775261819,16.2242268263666,16.2242268263666,16.2242268263666,16.2242268263666,16.2242268263666,2.442302050575077,2.655938294942478,0.8210380658116089,0.317915751712474,0.3179157517124741,0.3179157517124741,0.3179157517124741,0.3179157517124741,3.63931778047041,3.63931778047041,3.63931778047041,3.63931778047041,3.639317780470411,0.9312117398962444,0.7592660919950329,0.5961106412266144,0.6606171325042987,0.6606171325042985,0.6606171325042985,0.6606171325042985,0.6606171325042985,-12.520901379546839,-12.520901379546839,-12.520901379546839,-12.520901379546839,-12.52090137954684,-0.3234282079410572,-1.5994359846265835,-0.4541188200893261,-0.6027883838081445,-0.6027883838081451,-0.6027883838081451,-0.6027883838081451,-0.6027883838081451,3.0548065876227506,3.0548065876227506,3.0548065876227506,3.0548065876227506,3.054806587622752,0.41564873564950194,0.26108703939017996,0.30631076050267236,0.6292531369455835,0.6292531369455837,0.6292531369455837,0.6292531369455837,0.6292531369455837
H,-396.2785070810138,-48.724076228587556,-63.464906588946306,0.7887644494316769,-15.402305819787829,-14.294198852803683,12.761573801446968,-20.755444518649202,-39.311729703382795,-2.4430877661673187,4.634388297759802,-7.677075570766953,-19.50488182103518,35.57015801016587,11.713310504023712,13.831011778645616,15.02336515029058,3.797216315850534,12.611680657441028,9.38660550675448,5.1041172137724535,7.475409170693734,3.67363052650465,3.0265296248884623,5.4494779340354675,2.8053331771174568,-489.8809930904942,-60.36371683800424,-82.23472600947845,-28.868354235433497,-23.290840616087117,-30.95972062740453,-2.4404812191317267,-28.51016603830177,-51.12338385510469,-9.49523256172045,-4.025817613499252,-15.034222897103003,-23.18867493955704,-342.6127702070147,-18.018586527432678,-28.78670081447718,22.199502062776165,-9.728355964930577,6.983845659480929,27.676667479965158,-7.980729645868685,-24.61088451747677,3.6945894087138713,8.641137316644208,0.6447980602877466,-12.12128861985656,27.485716701981502,27.485716701981502,27.485716701981502,27.485716701981502,27.48571670198151,4.044315769857409,3.4736921577832,-0.03540598432847783,0.0916508597704721,0.09165085977047192,0.09165085977047192,0.09165085977047192,0.09165085977047192,2.0208091411500204,2.0208091411500204,2.0208091411500204,2.0208091411500204,2.0208091411500173,1.1401224279979298,0.726029335922287,0.870164322200163,0.3581472584825327,0.35814725848253265,0.35814725848253265,0.35814725848253265,0.35814725848253265,-25.410428813075075,-25.410428813075075,-25.410428813075075,-25.410428813075075,-25.410428813075075,-3.596552346272363,-1.9058658655827863,1.5846573584547128,-0.194281880502502,-0.19428188050250167,-0.19428188050250167,-0.19428188050250167,-0.19428188050250167,1.8550358691692057,1.8550358691692057,1.8550358691692057,1.8550358691692057,1.8550358691692062,0.9479760415380721,0.5708009020056005,0.6655038598865137,0.47363069258727974,0.47363069258728024,0.47363069258728024,0.47363069258728024,0.47363069258728024
G,-356.3520115204111,-57.45662484567724,-54.35436933469993,18.841164362517933,-10.949571082247779,-36.23230012476327,-7.687949356177018,-1.942966367659552,-10.746939732223128,-13.374436080584438,-8.15801271211218,-1.3906175820980595,-7.331742409465486,27.543505202465578,12.390105554878899,11.668970249325735,11.892577939757674,4.370302240076272,5.940072373124733,2.8142425085650804,3.6421413159170037,3.1495953891709485,3.5637118457958756,4.1323599564600215,3.7355823399427983,2.6940275933705236,-430.3933606884588,-72.20083482135448,-74.89892633704478,-5.647273431608985,-17.5853067064163,-47.01128335485168,-14.787472886240055,-6.198032557106254,-16.937385490376638,-20.830698969784795,-15.144338247842267,-7.544569628256164,-12.310517037489307,-313.0664764320101,-19.265709170817196,-26.37778699035958,38.00138712211108,3.9826506062738583,-23.13908719829924,-2.835088458600347,12.156545561770656,-4.317994994009654,-2.3989375993046607,0.23536496603953577,5.995507043346498,-1.8928781577938398,26.453677300942843,26.453677300942843,26.453677300942843,26.453677300942843,26.453677300942843,4.480740068891957,2.0472203603032804,-0.49826191592909425,1.7770794315721603,1.7770794315721576,1.7770794315721576,1.7770794315721576,1.7770794315721576,1.3504410506584033,1.3504410506584033,1.3504410506584033,1.3504410506584033,1.350441050658401,1.183191082908695,0.4742747224578419,0.6120594657121533,0.431567449132995,0.4315674491329947,0.4315674491329947,0.4315674491329947,0.4315674491329947,-20.960148256357083,-20.960148256357083,-20.960148256357083,-20.960148256357083,-20.96014825635709,-3.3174904835804515,-1.592573582958244,2.389542326385307,-0.37475079849583715,-0.3747507984958369,-0.3747507984958369,-0.3747507984958369,-0.3747507984958369,1.7336741458824276,1.7336741458824276,1.7336741458824276,1.7336741458824276,1.7336741458824283,0.9108193618369811,0.4761863851200861,0.7787053928007666,0.302087943485333,0.30208794348533324,0.30208794348533324,0.30208794348533324,0.30208794348533324
H,-222.07012086595688,-7.1208351712846385,-48.452729448835996,-14.764880970777345,-2.911552462405906,-0.6973950112239558,12.578913949312875,3.620913964181313,8.281396265662575,-0.601487124232844,0.27018627321096783,-5.452008949973207,-0.5693730629983421,53.4594123657355,3.986716696448334,7.7417316629440345,4.68626307252141,1.7023458942024465,3.061088737155444,2.4126045920671317,2.6801851740166627,1.5819800826032004,1.8957009747064517,1.265846929373469,1.3046712585174398,1.673680406191133,-308.0566396615738,-15.0862658323533,-62.56276441426243,-24.0175346252164,-6.726514186499258,-5.556737523445079,6.286519493605741,-0.5952233441030867,5.0352359489841305,-4.557094678790891,-3.112606088392811,-8.587118414093709,-2.8531222329883743,-155.6606655231742,1.2733278151262393,-33.83163239615402,-3.744796994908004,1.3672572671968466,3.7718203911245403,15.609317941573938,8.263396572866355,11.061503656834446,2.098042821558414,2.2190985298428365,-3.7624441957307284,2.913115397616193,18.162701478145447,18.162701478145447,18.162701478145447,18.162701478145447,18.16270147814545,4.142363760222318,4.401434180989396,0.7115167063399853,-0.5622496776539249,-0.5622496776539235,-0.5622496776539235,-0.5622496776539235,-0.5622496776539235,3.6514393930589444,3.6514393930589444,3.6514393930589444,3.6514393930589444,3.6514393930589444,0.7385816429390162,0.7269159452302238,0.30069732913825303,0.27010929823747787,0.2701092982374776,0.2701092982374776,0.2701092982374776,0.2701092982374776,-11.693730459566313,-11.693730459566313,-11.693730459566313,-11.693730459566313,-11.693730459566314,-1.209242133239988,-3.898079301288221,-2.1671319847617627,-0.9962396662603149,-0.996239666260315,-0.996239666260315,-0.996239666260315,-0.996239666260315,3.3667076999155943,3.3667076999155943,3.3667076999155943,3.3667076999155943,3.366707699915594,0.3969748780647231,0.7075142502291619,0.4049152428046342,0.2285421729458373,0.22854217294583748,0.22854217294583748,0.22854217294583748,0.22854217294583748
C,-315.95262299747094,-4.643901486324401,-39.892517248921294,-19.320222123359482,-36.54020803766657,-19.87934663579756,-25.1267687233328,-14.983666746927016,-10.282749964789017,-0.6587615372059437,4.219741528491678,10.525331867104795,12.22789529044491,66.19093325076379,6.839742295642363,7.819455792093366,3.3002250187174855,3.3349008190277396,5.313875449415475,4.251568855878472,4.857932088792448,4.553483342720052,3.0501575477607226,2.8025491866575782,1.966422802501353,2.8969058498525113,-421.8241845901129,-29.959570331056987,-59.85983368943339,-26.863842572176086,-43.92360070993206,-28.28525901375408,-30.838160424020977,-22.064766197386923,-16.739149828481594,-4.96181489010474,-1.1884360520033523,6.6213115107290275,7.713639549643771,-217.32337091240237,3.4204668695935876,-26.322957020638725,-12.181295156313924,-28.74777991160371,-10.348806215020609,-18.96712989802363,-3.351401705668778,-3.596352463113816,6.016883958684166,8.064009051665208,12.80421415372339,16.180473825976826,20.34387614812765,20.34387614812765,20.34387614812765,20.34387614812765,20.34387614812766,2.0809401952678233,4.830733548378971,4.915787560267651,5.988406242242052,5.988406242242046,5.988406242242046,5.988406242242046,5.988406242242046,3.8297109455742944,3.8297109455742944,3.8297109455742944,3.8297109455742944,3.8297109455742953,1.331410807202222,0.9392568537671044,0.4967084623566,0.6917960995813364,0.6917960995813358,0.6917960995813358,0.6917960995813358,0.6917960995813358,-15.919117539261912,-15.919117539261912,-15.919117539261912,-15.919117539261912,-15.919117539261915,2.64211085164591,0.7166659311615391,1.2845017863231243,-0.23244667233395305,-0.23244667233395158,-0.23244667233395158,-0.23244667233395158,-0.23244667233395158,4.124539504398052,4.124539504398052,4.124539504398052,4.124539504398052,4.124539504398052,0.6163004521304373,0.7332056440328433,0.6001746299973507,0.6794841434056401,0.6794841434056409,0.6794841434056409,0.6794841434056409,0.6794841434056409
H,-240.76186588331936,-14.607288099299634,-63.87642723379982,-0.837270172165092,-10.180199220259965,-1.6165559397145868,4.109130492504867,3.4901066860585965,9.756239710120338,10.35186115956819,6.49601373945757,2.941273871279238,-5.160400803040485,61.95720432240361,6.9887587079489615,8.844357035965723,3.184999849021733,2.6021599245015827,2.1992857811869206,2.3210950473396803,1.2642826346749165,2.0746584696001493,2.0883627938277236,1.3743997575683526,1.7234646541763954,2.014609606392267,-337.22067565557717,-28.578155039822917,-76.00655252699795,-6.8648809847117365,-13.661631940576978,-4.930457271714934,-0.1202471816020229,1.119869583680793,5.7015040139392426,5.978896346286021,3.6642373974226734,0.02677364467668899,-8.566564282085501,-167.82800219790755,-4.721357208600661,-48.33780688111696,6.457088819917282,-4.782233989030783,6.429162459820041,8.958874946988411,5.524248690824459,12.282396175100168,13.475548529915606,8.980798698667115,5.776274488632809,-1.2922127569212691,19.85927394024822,19.85927394024822,19.85927394024822,19.85927394024822,19.859273940248233,5.7279780216074,6.000611639579385,1.5787793078185168,0.7564700678212404,0.7564700678212405,0.7564700678212405,0.7564700678212405,0.7564700678212405,4.142708978380457,4.142708978380457,4.142708978380457,4.142708978380457,4.142708978380459,0.9461487825031035,0.7148266376451857,0.28041681298013443,0.24870798156847274,0.24870798156847257,0.24870798156847257,0.24870798156847257,0.24870798156847257,-12.602858009750532,-12.602858009750532,-12.602858009750532,-12.602858009750532,-12.602858009750532,-0.830468986846875,-3.5729236739969457,-0.7408507872620126,-2.0249852306606524,-2.024985230660654,-2.024985230660654,-2.024985230660654,-2.024985230660654,3.7185800579546058,3.7185800579546058,3.7185800579546058,3.7185800579546058,3.718580057954605,0.4909738254371188,0.7138950175003863,0.3191055850297107,0.33107162998233924,0.3310716299823393,0.3310716299823393,0.3310716299823393,0.3310716299823393
D,-402.3414401631661,-54.08420280476893,-62.63815268491596,5.907040126704448,6.831827194825214,-30.367291023144976,-16.677772720935963,-4.92034851924045,-2.8143182474392816,-10.958357596867518,-15.210840201432934,-9.027002440101823,-7.050228058251558,34.42876649205124,12.198713207252837,15.322792749836657,10.380325513400528,7.986442255059265,6.083307363542542,4.1841538488830174,4.294252245385687,3.4807089305445746,4.324699800733385,3.1237171750158006,4.038628853977314,2.5721675349050126,-491.4506391942833,-66.95153090259761,-95.14078727564896,-11.161231850406558,-9.169869136714938,-40.60140258606579,-25.138258582214647,-21.348216148004425,-9.10135496514161,-17.729215289900644,-20.12669662598631,-18.347952305898332,-10.97074510527651,-350.00248284797215,-15.027590304612412,-23.739438518250644,27.94524871360474,26.18533370733313,-18.525377929106924,-5.611172427465234,1.8684958541090748,4.975649615436845,-0.7337169721801734,-10.373254536389755,-2.3011268327185737,-3.5537023772064185,30.020774654960046,30.020774654960046,30.020774654960046,30.020774654960046,30.020774654960043,5.113508448939746,2.4211284730431952,-1.2197141854991325,0.08980834497002237,0.08980834497002045,0.08980834497002045,0.08980834497002045,0.08980834497002045,1.9010086509001847,1.9010086509001847,1.9010086509001847,1.9010086509001847,1.9010086509001853,1.3200250106888731,0.6561718760031257,0.7907962830631424,0.39348109107196727,0.3934810910719672,0.3934810910719672,0.3934810910719672,0.3934810910719672,-23.471164437608685,-23.471164437608685,-23.471164437608685,-23.471164437608685,-23.47116443760869,-3.273864991829517,-2.843778718720187,1.3297958224803188,0.6481774759370278,0.6481774759370279,0.6481774759370279,0.6481774759370279,0.6481774759370279,2.239056102060852,2.239056102060852,2.239056102060852,2.239056102060852,2.239056102060852,1.1075649437927246,0.8242022674265157,0.8702700178039228,0.45400334901411954,0.4540033490141193,0.4540033490141193,0.4540033490141193,0.4540033490141193
C,-194.11973833636713,3.698581033757461,-13.707797632524885,5.504476436124883,-12.287266227280437,-0.3151526165253913,-4.703575663674247,0.9931084981628275,1.6544535754684264,-2.759567707926417,-0.7600108583849509,-2.4150435441338107,0.7932730484935904,47.03630849746264,13.158788917439495,9.927472513840812,8.478993531629332,6.841466763490871,4.530753272204575,3.5546747344383314,2.0174591673049087,1.7258944494682957,2.930533018895453,1.9264550087550123,1.8259779314794238,2.039776918883392,-301.468040772782,-30.481022206809257,-31.9635453058024,-9.113002469053406,-24.756972051366628,-6.946304744505773,-11.52509389018795,-3.3641173376396467,-3.1854469824270923,-9.096070119881002,-4.429564348154346,-5.663567385578703,-4.339899960536382,-140.1160256081203,21.739389660897075,2.4413705120427123,20.366613821877664,1.6300098707475201,7.382998396600405,2.674455654627672,5.863961250570772,4.433778016616663,3.975470617156475,2.8193250056376913,0.9008685823405438,4.4059096596406055,13.119486082093497,13.119486082093497,13.119486082093497,13.119486082093497,13.119486082093495,0.31358522241544223,0.9365119230765303,0.07288142069987191,0.8359489620793371,0.8359489620793368,0.8359489620793368,0.8359489620793368,0.8359489620793368,3.122264792484889,3.122264792484889,3.122264792484889,3.122264792484889,3.122264792484888,1.1266813893966077,0.3892720729770335,0.8286181997914162,0.6687885314354622,0.668788531435462,0.668788531435462,0.668788531435462,0.668788531435462,-10.933697706925782,-10.933697706925782,-10.933697706925782,-10.933697706925782,-10.933697706925782,0.4006182894508869,-0.4724578185020383,0.11199967425963019,-0.6499864824622512,-0.649986482462251,-0.649986482462251,-0.649986482462251,-0.649986482462251,2.733739471286849,2.733739471286849,2.733739471286849,2.733739471286849,2.7337394712868512,1.172427826274805,0.605285139751607,0.5908437184800331,0.3237749645489461,0.323774964548946,0.323774964548946,0.323774964548946,0.323774964548946
I,-175.94107502011548,0.8256394073168349,-27.516542676544354,-3.171778834784919,-15.894541784616042,-2.5541648231304603,-5.988254624795085,-1.0338894360715114,-1.0088749170403943,1.6411971897609208,1.1551249338303842,1.9633614465042635,1.0927085504363563,33.76359015286831,7.471723207298843,10.036712566842306,4.56308036830196,4.242866316266661,4.381319649526854,3.101898075721045,2.3561662293724237,2.464155921179615,1.3659307606338031,1.9457310316371814,1.70005004640434,1.9448224766918925,-282.0018878073853,-12.957778456644519,-48.605337665542166,-9.983265228389286,-26.923284182565013,-13.150467227429633,-13.227945568286184,-5.939374584044655,-4.843832645570984,-0.9199948849692446,-1.966771462295147,-1.9270526964145451,-4.2552809104258404,-125.36495856294376,18.861326079504234,-7.554640573384095,4.025079684911974,-6.696159294461638,3.5335612215775987,0.7020720738247102,4.571165334324419,5.840241485066297,4.574238190945746,6.01460533813035,5.533822292905809,3.753885745249694,12.297073399954813,12.297073399954813,12.297073399954813,12.297073399954813,12.297073399954813,1.6161216727589343,2.673620127289113,1.4176610835672252,1.6410570982032857,1.6410570982032857,1.6410570982032857,1.6410570982032857,1.6410570982032857,2.2912723340283074,2.2912723340283074,2.2912723340283074,2.2912723340283074,2.2912723340283074,0.5938635967302843,0.8314763820135466,0.518918683840903,0.45018259838808355,0.4501825983880834,0.4501825983880834,0.4501825983880834,0.4501825983880834,-9.248454744922183,-9.248454744922183,-9.248454744922183,-9.248454744922183,-9.248454744922187,0.7059084050920641,-0.9368926835402002,0.02147430123859664,-0.8010143942372489,-0.8010143942372492,-0.8010143942372492,-0.8010143942372492,-0.8010143942372492,2.2519709467026208,2.2519709467026208,2.2519709467026208,2.2519709467026208,2.2519709467026217,0.561249993363617,0.4951803552759938,0.261706722677352,0.2883609505363145,0.28836095053631455,0.28836095053631455,0.28836095053631455,0.28836095053631455
H,-335.98559799607546,-62.270672479849814,-39.49064666034933,3.393398983706667,-30.524258048016723,4.184836886158047,-33.82518639064918,-21.207351532289877,2.435671699619317,-11.74869343771963,-22.63383915518796,-6.871828800874035,-0.27705290593860543,39.75272581685044,12.849788032747542,6.691836665223698,8.349884639765497,15.136761253297703,7.2210161995978375,8.547809730498628,5.176751716579956,3.2346104021747166,3.000689122883674,4.575515659099938,2.7518980578191585,4.376364393490289,-453.7816883003374,-79.234166979897,-45.8969185433787,-11.787621035590451,-50.410066771288186,-10.802592632757806,-49.57591627330302,-30.285196162485445,-4.990336783392614,-17.473688977326102,-32.57344371100142,-12.233214393251679,-6.980656354623927,-281.92030243580433,-29.698214471291458,-18.4546664361471,13.282966805122879,0.10811409046697451,15.906145049954926,-15.466337112160598,-11.532147103734822,7.951760758554583,-4.218092660286962,-15.253912839518904,-2.8354899190919785,7.271034688471717,24.81662333445518,24.81662333445518,24.81662333445518,24.81662333445518,24.816623334455183,4.589407364563352,1.0421437305531793,-0.21659761695538984,1.9943362678784824,1.994336267878481,1.994336267878481,1.994336267878481,1.994336267878481,2.310453359378947,2.310453359378947,2.310453359378947,2.310453359378947,2.3104533593789456,0.9212979232968269,0.34912637966464133,0.3250826680151564,0.7838991908416503,0.7838991908416506,0.7838991908416506,0.7838991908416506,0.7838991908416506,-19.167883742002438,-19.167883742002438,-19.167883742002438,-19.167883742002438,-19.167883742002438,-2.55231955042041,-1.3146699056898936,1.1878288257633738,0.1774153349582498,0.17741533495825207,0.17741533495825207,0.17741533495825207,0.17741533495825207,2.4283333586053293,2.4283333586053293,2.4283333586053293,2.4283333586053293,2.4283333586053306,0.6876191788278003,0.5629047156884502,0.5266298839352448,0.8369158217967719,0.8369158217967719,0.8369158217967719,0.8369158217967719,0.8369158217967719
