label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_overall_mean,mfcc_overall_std,mfcc_overall_min,mfcc_overall_max
G,-396.54865,94.620155,32.463722,69.93259,-26.16742,-13.839225,10.253487,-20.718231,-20.282246,5.8181295,-8.556032,-21.439152,-11.765758,-23.556051,117.49415,-587.5857,152.27913
H,-492.1904,48.467857,30.724089,7.6366305,3.072466,9.5269985,0.27496302,5.100252,1.7641097,4.556383,-3.2179446,5.0485377,1.1153842,-29.086205,143.84673,-756.20044,107.370346
G,-466.46143,37.681473,27.96441,23.450542,-22.049604,-0.49561906,-4.1289153,-8.731811,-5.2580733,-0.09059969,1.7343477,0.4459079,-2.1741464,-32.16258,134.35397,-621.446,95.27907
H,-227.88843,80.534775,-28.999413,8.301948,-50.13776,-18.557682,-17.28198,7.8780518,-19.700071,-8.294443,4.758273,-12.166586,-12.905949,-22.650715,80.1742,-495.4513,127.99537
C,-307.98764,82.40998,17.181297,28.03189,-20.226915,-41.63127,-17.040497,-4.1986527,-36.522476,12.01395,-4.951135,-7.424871,-0.71915627,-23.158884,100.49191,-630.00256,147.80518
H,-197.87064,64.97077,-37.882618,15.690991,-49.234432,-10.149768,-10.894994,6.3030286,-15.931061,-10.384377,0.9222207,-10.677121,-12.497681,-20.58736,77.83567,-518.08215,124.351814
D,-493.73972,51.1352,24.929213,30.59178,2.3830445,-2.5814335,6.8118997,-4.8626432,-4.7068286,1.494062,-2.3181882,-1.165152,-2.200373,-30.325314,140.9895,-633.63654,139.38908
C,-214.36082,-0.5213346,18.52778,29.491285,-32.841293,1.9559501,-19.587456,-0.08295319,-3.9408174,1.5622101,-13.214181,3.9245536,-7.9520583,-18.23378,63.319767,-364.82947,74.95082
I,-194.0261,64.38167,-16.724712,-3.6924324,-47.16723,23.796762,-14.463026,-16.834612,-0.37141505,-4.144643,-5.7178698,-8.903515,-0.60910887,-17.2674,65.545265,-467.44116,92.93649
H,-399.89352,25.939356,12.088025,20.87882,6.321748,7.691561,3.3405945,14.603643,-3.2014267,-4.855549,2.7663562,0.46361008,-3.1431425,-24.38461,118.48893,-666.957,95.1693
B,-456.29147,58.69539,31.203484,40.74586,1.5155314,11.587387,-0.9828817,2.6767626,-1.8472115,-1.3714398,1.4456004,2.2662342,0.13457525,-23.863243,133.40535,-637.4616,148.24872
C,-445.94086,59.9956,28.268885,31.983715,-1.911638,-5.7785506,7.377065,-9.866717,-10.628383,3.9323401,-4.2217402,-2.7954643,-1.0195432,-26.969643,129.12679,-689.23175,109.629654
E,-563.75757,47.51975,25.745863,30.706423,-4.764048,1.4365538,0.976101,-5.8161807,-6.877033,0.75200856,-6.8293834,-1.3564334,1.3831166,-36.99083,158.84547,-715.13086,104.62126
H,-399.89352,25.939356,12.088025,20.87882,6.321748,7.691561,3.3405945,14.603643,-3.2014267,-4.855549,2.7663562,0.46361008,-3.1431425,-24.38461,118.48893,-666.957,95.1693
D,-407.83426,23.513786,17.180252,17.857838,-17.983768,1.5016288,-3.260848,-4.337587,-8.828505,0.019723738,3.037241,-1.7162158,-7.183768,-29.848806,118.45547,-552.00354,68.07818
B,-292.0869,85.19498,9.171896,35.86005,-66.31178,-4.1058927,-29.824509,-24.399252,-16.544136,-13.850818,0.006097401,-19.470499,-1.0354258,-25.953558,96.96395,-578.544,133.4945
I,-457.04312,59.889767,16.832588,9.980362,-8.579361,19.495197,4.2608924,-4.9799743,3.2032673,3.5832705,-7.36566,2.4254417,-6.8120384,-28.085335,134.48538,-671.1815,103.19685
A,-431.6099,45.06238,17.359123,15.224048,-15.395354,3.2826667,8.410781,9.666121,0.5838519,8.850575,1.5666993,-4.3058405,-2.934098,-26.479921,128.40842,-641.70374,115.05011
